,B_431FM2_FI,C_431BE1_JT,D_471FN1_FT01,E_471FN2_FT01,F_471FN3_FT01,G_471FN4_FT01,H_471FN5_FT01,I_471FN6_FT01,J_471FN7_FT01,K_471CLNKR_TT,F_451PC1_TT04,G_461KL1_TT01,H_461KL1_PYRO_MTR,I_Kiln RPM,J_461KL1_IZ,K_461KL1_JZ_EM,E _471FN2_PT01,F_471FN3_PT01,G_471FN4_PT01,H_471FN5_PT01,I_471FN6_PT01,J_471FN7_PT01
6062,260.3,100.1,630.4,1144.5,1329.2,1170.9,1078.0,786.1,747.8,530.0,1033.9,1100.1,1257.7,4.1,387.0,316.6,891.0,872.8,827.5,773.8,575.4,427.5
6063,271.8,103.0,650.4,1167.3,1220.1,1167.6,1075.6,864.5,851.3,530.0,1051.8,1081.7,1384.2,4.5,363.6,316.7,949.1,877.4,825.8,770.6,618.2,486.6
6064,279.6,105.5,649.0,1177.9,1245.6,1163.3,1095.9,831.7,810.8,530.0,1009.8,1102.8,1259.4,4.6,350.4,309.5,946.0,885.0,824.5,754.3,556.9,425.6
6065,280.6,105.8,649.0,1188.6,1279.5,1164.7,1078.4,810.7,779.7,530.0,1006.1,1079.4,1192.4,4.7,370.8,337.3,926.5,885.7,828.9,773.8,590.3,436.1
6066,281.1,106.0,649.9,1193.7,1273.1,1127.9,1077.7,738.1,699.0,530.0,993.2,1110.2,1179.6,4.5,375.3,335.4,935.3,905.2,839.6,783.0,542.3,386.3
6067,281.0,106.0,650.1,1191.6,1303.5,1189.6,1099.7,657.9,610.9,530.0,1026.2,1070.9,1263.6,4.5,379.8,337.9,949.0,906.9,833.2,743.7,458.9,322.9
6068,280.7,106.1,650.5,1194.3,1308.5,1165.8,1097.6,724.5,690.6,530.0,986.5,1100.6,1149.1,4.5,362.0,316.8,934.8,909.9,840.9,772.2,519.6,372.6
6069,280.6,105.5,649.8,1198.1,1292.1,1165.8,1089.6,673.5,642.6,530.0,1007.7,1097.5,1184.0,4.5,375.6,331.7,940.1,914.5,843.7,779.8,510.0,363.8
6070,281.1,105.7,649.4,1196.2,1317.8,1235.0,1100.1,796.7,796.2,530.0,1024.5,1050.3,1263.1,4.5,368.6,321.0,940.9,906.7,831.1,743.9,548.5,434.3
6071,281.2,105.8,650.6,1182.7,1286.5,1213.2,1100.2,720.2,688.0,530.0,1011.4,1033.5,1270.8,4.5,359.5,311.5,956.8,921.4,839.4,736.4,479.7,347.7
6072,280.6,105.6,650.1,1192.0,1300.8,1232.6,1099.7,688.6,654.8,530.0,1001.6,1066.2,1269.1,4.5,374.5,333.9,944.0,916.4,837.1,726.0,454.0,330.4
6073,280.4,105.1,650.0,1193.7,1305.0,1230.0,1099.5,796.6,795.3,530.0,999.7,1075.7,1268.4,4.6,376.0,338.2,948.2,918.5,836.0,734.1,523.3,412.0
6074,280.7,105.5,650.4,1190.7,1303.3,1236.2,1099.8,799.0,787.5,530.0,1004.5,1073.0,1233.0,4.5,365.6,321.7,950.0,922.3,839.2,738.4,529.2,408.9
6076,280.5,105.9,678.4,1184.3,1292.6,1227.7,1099.2,832.1,833.2,530.0,1010.7,1057.1,1242.3,4.5,393.2,351.8,954.8,926.1,844.3,749.4,560.1,442.1
6077,162.5,73.3,624.6,1055.9,1175.5,1152.7,932.7,628.2,589.5,530.0,916.0,1052.9,1379.1,2.6,395.9,215.0,798.7,762.4,725.7,592.4,358.0,263.6
6078,249.0,97.9,649.3,1116.7,1328.9,1244.5,1090.6,648.7,631.5,530.0,984.7,1054.3,1286.7,4.3,372.4,314.0,905.3,897.4,836.8,746.3,465.9,338.7
6079,264.2,101.5,650.4,1151.9,1278.9,1190.9,1095.1,730.1,696.2,530.0,1011.4,1095.2,1321.6,4.4,381.3,335.6,934.9,896.1,835.8,756.8,513.9,379.5
6080,270.0,103.3,650.8,1195.9,1297.2,1193.7,1097.2,763.2,763.8,530.0,999.1,1086.5,1230.2,4.5,358.3,308.9,938.6,901.1,832.8,763.0,537.5,411.6
6081,270.3,102.8,650.3,1193.1,1296.6,1166.5,1091.9,757.1,756.9,530.0,989.4,1098.0,1189.6,4.5,360.3,310.1,935.6,904.0,836.0,779.4,554.7,419.2
6082,270.2,102.4,650.6,1195.1,1286.5,1190.0,1097.1,702.8,701.9,530.0,992.9,1077.5,1217.6,4.5,387.0,345.8,941.0,902.9,831.4,764.7,513.3,386.9
6083,264.7,100.9,651.1,1176.3,1292.0,1191.9,1097.2,722.6,722.5,530.0,1002.9,1068.9,1308.1,4.2,378.2,318.0,940.9,898.8,830.4,760.8,512.4,390.7
6084,277.3,104.8,649.7,1186.0,1285.5,1195.2,1096.2,784.8,784.5,530.0,1016.7,1072.6,1334.0,4.5,377.1,333.9,937.9,899.7,826.5,756.5,559.0,437.9
6085,280.7,104.9,650.3,1192.6,1281.9,1189.9,1091.3,883.2,882.1,530.0,990.1,1092.6,1233.8,4.6,387.8,352.9,928.6,899.5,826.9,766.4,614.1,497.1
6086,280.7,104.9,650.2,1189.9,1262.8,1128.5,1047.4,812.6,813.1,530.0,1016.9,1098.1,1201.3,4.6,403.9,373.6,935.3,903.3,835.5,790.8,618.6,471.5
6087,280.8,104.9,649.1,1193.8,1283.0,1147.5,1076.2,720.3,718.8,530.0,1017.4,1124.5,1222.9,4.6,402.5,372.2,934.8,899.8,831.4,781.4,555.2,418.2
6088,280.7,105.2,647.9,1196.8,1292.9,1128.2,1064.2,787.1,788.2,530.0,1017.6,1115.3,1171.1,4.6,397.3,365.8,932.2,896.4,832.6,788.9,603.7,459.1
6089,270.5,102.5,649.0,1200.3,1311.7,1124.6,1060.7,772.1,771.1,530.0,991.7,1110.4,1160.6,4.2,407.1,351.6,920.7,895.9,836.1,792.9,604.3,454.3
6090,273.1,103.6,650.7,1192.4,1311.2,1194.0,1097.6,741.2,741.7,530.0,1011.3,1095.0,1256.2,4.1,419.8,360.8,935.0,896.8,827.9,768.3,557.5,425.4
6091,280.6,106.0,649.8,1191.6,1324.8,1211.6,1094.4,860.5,859.3,530.0,1028.7,1082.8,1333.1,4.3,399.0,345.4,934.4,898.2,831.0,770.9,611.0,477.6
6092,280.7,105.8,650.5,1183.2,1310.8,1214.7,1100.7,738.9,739.5,530.0,1043.1,1084.3,1311.6,4.5,386.8,351.3,946.3,902.5,834.2,757.5,532.7,405.3
6093,280.6,105.6,667.5,1195.8,1321.4,1236.5,1100.5,712.4,711.4,530.0,1044.8,1076.6,1321.2,4.5,380.3,343.3,934.7,901.5,831.4,748.9,511.9,392.7
6094,275.3,104.0,681.3,1196.6,1310.2,1195.7,1092.1,703.5,703.7,530.0,988.2,1096.2,1168.4,4.4,398.5,353.7,935.0,903.7,844.4,783.7,542.9,404.9
6095,270.7,102.5,679.9,1196.1,1302.8,1211.3,1092.4,700.3,701.2,530.0,981.6,1094.8,1187.6,4.3,417.6,365.9,937.3,908.2,843.3,770.5,518.8,395.7
6096,263.7,101.0,680.1,1195.7,1288.2,1167.0,1060.4,749.3,748.5,530.0,1008.2,1062.6,1159.7,4.2,398.5,343.0,935.4,911.0,851.5,795.8,594.9,444.7
6097,260.7,100.0,679.3,1194.9,1299.1,1201.4,1097.1,702.6,702.0,530.0,981.4,1075.2,1192.4,4.0,406.6,337.5,930.9,906.9,846.2,774.8,522.2,398.6
6098,266.4,101.9,679.6,1198.6,1321.6,1205.8,1088.6,755.3,755.9,530.0,995.9,1067.2,1239.8,4.1,404.9,337.4,934.1,908.4,838.2,772.8,567.0,437.7
6099,278.0,104.9,679.0,1198.2,1316.4,1241.8,1100.7,711.3,710.8,530.0,994.9,1079.8,1386.4,4.3,403.7,349.5,936.9,912.4,835.7,728.9,476.4,364.0
6100,280.5,105.9,678.5,1192.8,1307.2,1222.9,1100.5,732.2,730.7,530.0,1016.8,1096.2,1372.3,4.4,383.8,335.2,944.7,915.5,837.5,751.1,519.6,392.5
6101,279.9,105.7,680.0,1197.7,1295.9,1152.4,1075.6,731.0,731.0,530.0,979.2,1133.7,1162.8,4.4,401.7,361.2,940.2,920.4,853.6,789.7,556.3,412.4
6102,280.0,106.0,679.0,1197.7,1308.2,1141.8,1060.8,701.0,701.1,530.0,988.7,1146.1,1143.9,4.4,409.2,372.4,930.8,913.6,854.6,802.5,569.3,426.2
6103,279.8,106.0,679.5,1199.9,1300.6,1131.7,1064.9,708.9,709.3,530.0,1013.5,1103.4,1159.0,4.4,416.4,379.8,922.9,908.8,850.3,801.2,562.9,425.5
6104,280.4,106.1,680.1,1186.3,1282.8,1134.3,1059.8,715.6,717.0,530.0,1031.3,1110.2,1217.0,4.4,399.5,356.1,948.5,911.0,846.1,795.7,571.7,424.9
6106,280.3,105.8,679.3,1185.4,1296.6,1189.9,1087.0,854.4,854.6,530.0,1013.4,1072.4,1271.2,4.5,355.5,310.2,944.1,899.2,826.5,760.9,591.7,466.9
6107,176.7,76.9,530.5,856.7,752.4,999.0,799.4,496.0,498.7,530.0,863.4,940.4,750.0,2.5,360.9,186.5,680.7,586.5,604.8,548.6,329.3,264.2
6108,223.2,90.5,552.4,1006.8,1230.3,1078.3,800.0,644.5,649.8,530.0,940.9,974.3,1217.5,3.4,340.8,222.3,904.2,906.6,853.9,715.1,538.4,404.9
6109,267.3,102.5,558.4,1018.4,1200.7,1123.2,846.7,821.2,822.7,530.0,975.3,1007.5,1382.9,4.2,355.4,283.4,931.1,904.7,837.9,717.8,605.1,483.9
6110,274.7,103.5,609.0,1100.5,1247.2,1151.2,1075.4,730.8,730.5,530.0,990.7,1035.0,1290.8,4.5,362.5,318.3,923.6,899.1,852.7,796.7,564.5,419.9
6111,274.2,103.6,650.2,1100.3,1294.9,1133.1,1069.5,716.6,716.3,530.0,995.7,1067.5,1210.3,4.6,367.1,326.3,908.6,898.8,855.5,799.8,544.4,395.5
